STEP,OPTION_NAME,POWER_OUT,POWER_UNIT,SETTING_ATT,SETTING_POWER,SETTING_FREQ,MEASURE_CYCLE,MEASURE_TIME,MEASURE_INTERVAL,START_DELAY,COOLING_TIME,ROTATOR,MEASURE_POWER,STATE
1,PWM_CHECK_HEAD01,ON,W,23.50,1.200,20.0,3,1000,100,500,300,0.0000,1.2040,READY
2,PWM_CHECK_HEAD02,ON,W,23.50,1.200,20.0,3,1000,100,500,300,0.0000,1.2052,WAIT
3,PWM_CHECK_HEAD03,ON,W,23.50,1.000,20.0,3,1000,100,500,300,0.0000,1.0068,WAIT
4,PWM_CHECK_HEAD04,ON,W,23.50,1.000,20.0,3,1000,100,500,300,0.0000,1.0034,WAIT
5,PWM_CHECK_HEAD05,ON,W,23.50,0.800,20.0,2,800,100,300,200,0.0000,0.8020,WAIT
6,PWM_CHECK_HEAD06,ON,W,23.50,0.800,20.0,2,800,100,300,200,0.0000,0.8015,WAIT
7,PWM_CHECK_HEAD07,ON,W,23.50,0.800,20.0,2,800,100,300,200,0.0000,0.8008,WAIT
8,PWM_CHECK_HEAD08,ON,W,23.50,0.800,20.0,2,800,100,300,200,0.0000,0.8024,WAIT
